"Date","Price","Open","High","Low","Vol.","Change %"
"05/22/2024","1,831.00","1,831.00","1,831.00","1,831.00","","0.49%"
"05/21/2024","1,822.00","1,822.00","1,822.00","1,822.00","","0.61%"
"05/20/2024","1,811.00","1,811.00","1,811.00","1,811.00","","-0.77%"
"05/17/2024","1,825.00","1,825.00","1,825.00","1,825.00","","-1.08%"
"05/16/2024","1,845.00","1,845.00","1,845.00","1,845.00","","-3.15%"
"05/15/2024","1,905.00","1,905.00","1,905.00","1,905.00","","-3.69%"
"05/14/2024","1,978.00","1,978.00","1,978.00","1,978.00","","-1.93%"
"05/13/2024","2,017.00","2,017.00","2,017.00","2,017.00","","-0.44%"
"05/10/2024","2,026.00","2,026.00","2,026.00","2,026.00","","0.30%"
"05/09/2024","2,020.00","2,020.00","2,020.00","2,020.00","","0.75%"
"05/08/2024","2,005.00","2,005.00","2,005.00","2,005.00","","2.87%"
"05/07/2024","1,949.00","1,949.00","1,949.00","1,949.00","","3.45%"
"05/03/2024","1,884.00","1,884.00","1,884.00","1,884.00","","1.13%"
"05/02/2024","1,863.00","1,863.00","1,863.00","1,863.00","","0.87%"
"05/01/2024","1,847.00","1,847.00","1,847.00","1,847.00","","0.11%"
"04/30/2024","1,845.00","1,845.00","1,845.00","1,845.00","","-0.70%"
"04/29/2024","1,858.00","1,858.00","1,858.00","1,858.00","","-1.06%"
"04/26/2024","1,878.00","1,878.00","1,878.00","1,878.00","","-0.95%"
"04/25/2024","1,896.00","1,896.00","1,896.00","1,896.00","","-0.73%"
"04/24/2024","1,910.00","1,910.00","1,910.00","1,910.00","","-0.21%"
"04/23/2024","1,914.00","1,914.00","1,914.00","1,914.00","","-0.73%"
"04/22/2024","1,928.00","1,928.00","1,928.00","1,928.00","","0.63%"
"04/19/2024","1,916.00","1,916.00","1,916.00","1,916.00","","2.13%"
"04/18/2024","1,876.00","1,876.00","1,876.00","1,876.00","","3.93%"
"04/17/2024","1,805.00","1,805.00","1,805.00","1,805.00","","2.91%"
"04/16/2024","1,754.00","1,754.00","1,754.00","1,754.00","","1.04%"
"04/15/2024","1,736.00","1,736.00","1,736.00","1,736.00","","1.34%"
"04/12/2024","1,713.00","1,713.00","1,713.00","1,713.00","","2.15%"
"04/11/2024","1,677.00","1,677.00","1,677.00","1,677.00","","2.82%"
"04/10/2024","1,631.00","1,631.00","1,631.00","1,631.00","","-0.12%"
"04/09/2024","1,633.00","1,633.00","1,633.00","1,633.00","","-2.04%"
"04/08/2024","1,667.00","1,667.00","1,667.00","1,667.00","","-1.65%"
"04/05/2024","1,695.00","1,695.00","1,695.00","1,695.00","","-2.19%"
"04/04/2024","1,733.00","1,733.00","1,733.00","1,733.00","","-2.20%"
"04/03/2024","1,772.00","1,772.00","1,772.00","1,772.00","","-2.42%"
"04/02/2024","1,816.00","1,816.00","1,816.00","1,816.00","","-3.35%"
"03/28/2024","1,879.00","1,879.00","1,879.00","1,879.00","","-3.19%"
"03/27/2024","1,941.00","1,941.00","1,941.00","1,941.00","","-5.04%"
"03/26/2024","2,044.00","2,044.00","2,044.00","2,044.00","","-3.58%"
"03/25/2024","2,120.00","2,120.00","2,120.00","2,120.00","","-2.08%"
"03/22/2024","2,165.00","2,165.00","2,165.00","2,165.00","","-1.77%"
"03/21/2024","2,204.00","2,204.00","2,204.00","2,204.00","","-2.09%"
"03/20/2024","2,251.00","2,251.00","2,251.00","2,251.00","","-2.39%"
"03/19/2024","2,306.00","2,306.00","2,306.00","2,306.00","","0.35%"
"03/18/2024","2,298.00","2,298.00","2,298.00","2,298.00","","2.86%"
"03/15/2024","2,234.00","2,234.00","2,234.00","2,234.00","","4.74%"
"03/14/2024","2,133.00","2,133.00","2,133.00","2,133.00","","4.41%"
"03/13/2024","2,043.00","2,043.00","2,043.00","2,043.00","","4.82%"
"03/12/2024","1,949.00","1,949.00","1,949.00","1,949.00","","2.96%"
"03/11/2024","1,893.00","1,893.00","1,893.00","1,893.00","","1.72%"
"03/08/2024","1,861.00","1,861.00","1,861.00","1,861.00","","1.14%"
"03/07/2024","1,840.00","1,840.00","1,840.00","1,840.00","","0.93%"
"03/06/2024","1,823.00","1,823.00","1,823.00","1,823.00","","1.00%"
"03/05/2024","1,805.00","1,805.00","1,805.00","1,805.00","","1.80%"
"03/04/2024","1,773.00","1,773.00","1,773.00","1,773.00","","2.90%"
"03/01/2024","1,723.00","1,723.00","1,723.00","1,723.00","","2.50%"
"02/29/2024","1,681.00","1,681.00","1,681.00","1,681.00","","3.32%"
"02/28/2024","1,627.00","1,627.00","1,627.00","1,627.00","","2.91%"
"02/27/2024","1,581.00","1,581.00","1,581.00","1,581.00","","0.19%"
"02/26/2024","1,578.00","1,578.00","1,578.00","1,578.00","","-1.07%"
"02/23/2024","1,595.00","1,595.00","1,595.00","1,595.00","","-1.79%"
"02/22/2024","1,624.00","1,624.00","1,624.00","1,624.00","","-2.93%"
"02/21/2024","1,673.00","1,673.00","1,673.00","1,673.00","","-1.93%"
"02/20/2024","1,706.00","1,706.00","1,706.00","1,706.00","","1.49%"
"02/19/2024","1,681.00","1,681.00","1,681.00","1,681.00","","2.13%"
"02/16/2024","1,646.00","1,646.00","1,646.00","1,646.00","","1.42%"
"02/15/2024","1,623.00","1,623.00","1,623.00","1,623.00","","2.59%"
"02/14/2024","1,582.00","1,582.00","1,582.00","1,582.00","","2.06%"
"02/13/2024","1,550.00","1,550.00","1,550.00","1,550.00","","1.57%"
"02/12/2024","1,526.00","1,526.00","1,526.00","1,526.00","","1.13%"
"02/09/2024","1,509.00","1,509.00","1,509.00","1,509.00","","2.37%"
"02/08/2024","1,474.00","1,474.00","1,474.00","1,474.00","","2.01%"
"02/07/2024","1,445.00","1,445.00","1,445.00","1,445.00","","1.19%"
"02/06/2024","1,428.00","1,428.00","1,428.00","1,428.00","","0.63%"
"02/05/2024","1,419.00","1,419.00","1,419.00","1,419.00","","-1.73%"
"02/02/2024","1,444.00","1,444.00","1,444.00","1,444.00","","-3.54%"
"02/01/2024","1,497.00","1,497.00","1,497.00","1,497.00","","-4.41%"
"01/31/2024","1,566.00","1,566.00","1,566.00","1,566.00","","-4.28%"
"01/30/2024","1,636.00","1,636.00","1,636.00","1,636.00","","-2.97%"
"01/29/2024","1,686.00","1,686.00","1,686.00","1,686.00","","-0.59%"
"01/26/2024","1,696.00","1,696.00","1,696.00","1,696.00","","0.36%"
"01/25/2024","1,690.00","1,690.00","1,690.00","1,690.00","","1.62%"
"01/24/2024","1,663.00","1,663.00","1,663.00","1,663.00","","3.10%"
"01/23/2024","1,613.00","1,613.00","1,613.00","1,613.00","","2.35%"
"01/22/2024","1,576.00","1,576.00","1,576.00","1,576.00","","1.68%"
"01/19/2024","1,550.00","1,550.00","1,550.00","1,550.00","","3.89%"
"01/18/2024","1,492.00","1,492.00","1,492.00","1,492.00","","3.18%"
"01/17/2024","1,446.00","1,446.00","1,446.00","1,446.00","","1.76%"
"01/16/2024","1,421.00","1,421.00","1,421.00","1,421.00","","0.64%"
"01/15/2024","1,412.00","1,412.00","1,412.00","1,412.00","","0.14%"
"01/12/2024","1,410.00","1,410.00","1,410.00","1,410.00","","-0.77%"
"01/11/2024","1,421.00","1,421.00","1,421.00","1,421.00","","-2.94%"
"01/10/2024","1,464.00","1,464.00","1,464.00","1,464.00","","-4.56%"
"01/09/2024","1,534.00","1,534.00","1,534.00","1,534.00","","-4.42%"
"01/08/2024","1,605.00","1,605.00","1,605.00","1,605.00","","-3.66%"
"01/05/2024","1,666.00","1,666.00","1,666.00","1,666.00","","-3.53%"
"01/04/2024","1,727.00","1,727.00","1,727.00","1,727.00","","-4.48%"
"01/03/2024","1,808.00","1,808.00","1,808.00","1,808.00","","-3.42%"
"01/02/2024","1,872.00","1,872.00","1,872.00","1,872.00","","-1.94%"
"12/22/2023","1,909.00","1,909.00","1,909.00","1,909.00","","-0.31%"
"12/21/2023","1,915.00","1,915.00","1,915.00","1,915.00","","-0.10%"
"12/20/2023","1,917.00","1,917.00","1,917.00","1,917.00","","0.10%"
"12/19/2023","1,915.00","1,915.00","1,915.00","1,915.00","","0.47%"
"12/18/2023","1,906.00","1,906.00","1,906.00","1,906.00","","0.32%"
"12/15/2023","1,900.00","1,900.00","1,900.00","1,900.00","","-0.78%"
"12/14/2023","1,915.00","1,915.00","1,915.00","1,915.00","","-1.95%"
"12/13/2023","1,953.00","1,953.00","1,953.00","1,953.00","","-2.15%"
"12/12/2023","1,996.00","1,996.00","1,996.00","1,996.00","","-2.59%"
